Target,,,,,Potential Observation Capability,,,,,,,,
Source class,Source label,Source specification,Distance/redshift (dL in kpc),Sub-specs,freq,Required precision,provisional POC label,Achievable by Concept X?,science motivation,sci ref,,UNUSED,"['1.1.b', '1.2.b', '1.3.b', '2.2.b', '3.1.a', '3.2.a', '3.3.d', '4.1.a', '4.1.b', '5.1.a', '5.1.b', '5.1.c', '5.1.d', '5.2.a', '5.2.b', '5.3.a', '5.3.b', '5.4.a', '5.4.b', '5.5.b', '5.7.a']"
1. Stellar-scale mergers,NS binary,1.5 MSun + 1.5 MSun,z = 0.05; dL = 2.30e5,month to week before merger,0.5 Hz,1 arcsrc,1.1.a,,standard sirens for cosmological structure; forecasting; mapping; redshift-dependent neutron star physics? constrain environment-dependent dynamical interactions; hierarchical mergers; primordial black holes?,Sedda et al. and Dvorkin et al.,,,
,NS binary,,,,,1 arcmin  ,1.1.b,,,,,√,
,NS binary,,z = 1.0; dL = 6.79e6,chirping,,30 arcsec  ,1.1.c,,,,,,
,NS binary,,z = 20; dL = 2.31e8,,,6 arcsec,1.1.d,,,,,,
,NS binary,,z = 10; dL = 1.07e8,,,1 arcsec,1.1.e,,,,,,
,NS binary,,z = 0.15; dL = 6.0e5,days before merger,,1 deg,1.1.f,,H0 measurements using joint GW-EM detections of BNS mergers+kilonovae (distance specification is based on 30s exposure with Vera Rubin Observatory; localization requirement is based on requiring only one pointing with VRO; better precision in H0 measurement achievable with more precise luminosity distance measurements -- this may require detecting higher-order modes or multiple detectors or detection at very early times),https://arxiv.org/pdf/2011.01211.pdf,,,
,NS binary,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,1.1.g,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,NS binary,,,,,1 arcmin  ,1.1.h,,"H0 measurements doing a statistical comparison between distributions of GW sources and distributions of galaxies; the rationale for the required precision is being able to localize GW sources to a galaxy cluster (essentially, you just need enough precision to be able to whether GW sources follow the galaxy distribution); will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,NS binary,,,,,1 deg,1.1.i,,H0 measurements comparing the NS masses of detected GW sources to expected mass distribution,,,,
,NS-BH binary,1.5 MSun + 10 MSun,z = 0.2; dL = 1.01e6,month to week before merger,0.29 Hz,1 arcsrc,1.2.a,,,,,,
,NS-BH binary,,,,,1 arcmin  ,1.2.b,,,,,,
,NS-BH binary,1.5 MSun + 5 MSun,z = 0.07; dL = 3.0e5,days before merger,,1 deg,1.2.c,,H0 measurements using joint GW-EM detections of NS-BH mergers+kilonovae (distance specification is based on 30s exposure with Vera Rubin Observatory; localization requirement is based on requiring only one pointing with VRO; better precision in H0 measurement achievable with more precise luminosity distance measurements -- this may require detecting higher-order modes or multiple detectors or detection at very early times),,,,
,NS-BH binary,1.5 MSun + 10 MSun,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,1.2.d,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,NS-BH binary,,,,,1 arcmin  ,1.2.e,,"H0 measurements doing a statistical comparison between distributions of GW sources and distributions of galaxies; the rationale for the required precision is being able to localize GW sources to a galaxy cluster (essentially, you just need enough precision to be able to whether GW sources follow the galaxy distribution); will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,BH binary,30 MSun + 30 MSun,z = 0.2; dL = 1.01e6,month to week before merger,0.11 Hz,1 arcsrc,1.3.a,,,,,,
,BH binary,,,,,1 arcmin  ,1.3.b,,,,,x,
,,,,,,,,,,,,,
,BH binary,,z = 1.0; dL = 6.79e6,chirping,,30 arcsec  ,1.3.c,,,,,,
,BH binary,,z = 20; dL = 2.31e8,,,6 arcsec,1.3.d,,,,,,
,BH binary,,z = 10; dL = 1.07e8,,,1 arcsec,1.3.e,,,,,,
,BH binary,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,1.3.f,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,WD binary (merger),1.0 MSun + 1.0 MSun,z = 0.01; dL = 4.2e4,,,1 arcmin  ,1.3.g,,,,,,
,,,,,,,,,,,,,
2.MBHB,MBH binary,1e6 MSun + 1e6 MSun,z = 1.0; dL = 6.79e6,year to month before merger,3e-5 Hz,1 arcsec,2.1.a,,,,,,
,MBH binary,,,,,1 arcmin  ,2.1.b,,,,,,
,MBH binary,,z = 1.0; dL = 6.79e6,chirping,,30 arcsec  ,2.1.c,,,,,,
,MBH binary,,z = 20; dL = 2.31e8,,,6 arcsec,2.1.d,,,,,,
,MBH binary,,z = 10; dL = 1.07e8,,,1 arcsec,2.1.e,,For sub-cluster (so smaller foreground mass),,,,
,MBH binary,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,2.1.f,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,MBH binary,5e5 MSun + 5e5 MSun,z=2; dL = 1.59e7,post merger,2e-2 Hz,1 arcsrc,2.2.a,,,,,,
,MBH binary,,,,,1 arcmin,2.2.b,,,,,√,
,MBH binary,,z=2; dL = 1.59e7,1 day < merger,3e-4 Hz,3 arcsrc,2.3.a,,,,,,
,MBH binary,,,,,3 arcmin  ,2.3.b,,,,,,
,MBH binary,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,2.3.c,,,,,,
,,,,,,,,,,,,,
3.EMRI,SMBH + IMBH,1e2 MSun + 1e8 MSun,z = 0.5; dL = 2.92e6,,0.1 Hz,,3.1.a,,,,,√,
,SMBH + IMBH,,z = 1.0; dL = 6.79e6,no particular timescale,,,3.1.b,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
