,,DETERMINE WHAT,,Measurement Requirements (DATA REQUIREMENTS),,,,,,
"""Goal""",Science Objectives,Science Actions,Specific Analyses,Astrophysical Parameters (Level 1 Measurement Req),Rationale for Measurement Parameters,Necessary EM observations/EM science actions that are enabled,Challenges or Needs,Assignees,,Notes/references
"Understanding the Universe, how it formed and evolved.",Measure the Hubble Constant (resolve the tension),Measure the distance to GW sources and compare with redshift measurements of EM counterparts,Perform waveform analysis of MBHB mergers to determine distance.,2.1.b,Needs to be close enough for EM observations and assumes advance notification to enable searches for EM counterparts; details of the observational requirements depend on theory and EM facilities' capabilities; test case used in Column E may need refinement,z = 1.0; timescale ~ 1 month before merger,,John B.,,
,,,,2.3.b,,z=2.0; timescale ~ 1 day before merger,,,,
,,,BNS mergers,,"for two 1.4 M_sun NSs, with max GW frequency  ~1Hz, system is ~6 days before merger when it gets out of band (needs accurate localization before that to provide advance warning for EM observations). More accurate distance estimates require knowledge of the binary inclination angle, or both + and x polarizations!",need galaxy catalogs for galaxy identification,"GRB detections require jet-on, it's going to be a fraction of the events",Cecilia,,
,,,NS-BH,,"for M_BH = 5M_sun and M_NS = 1.4 M_sun, with max GW frequency ~1Hz, system is ~2 days before merger when it gets out of band",need galaxy catalogs for galaxy identification,"limited cases will produce EM counterpart, if M_BH >> 5 M_sun then NS is swallowed whole",Cecilia,,
,,,TDE,,,,,,,
,,,WD-WD -> Type 1a SN (feasible?),,Based on Decigo study example. Use 1+1Msun@z=0.01.,,,John B.,,"arxiv:1910:01063: This problem studied for Decigo
Local Type Ia rate: (0.301±0.062)×10−4SNyr−1 Mpc−3
10 events/yr for z=0.00968 (42Mpc) for 1M⊙−1M⊙ "
,,,IMBH-WD (?),,,,,John B.,,
,,,MBH-WD,,,,,John B.,,
,,Measure distances of GW sources and associate with host galaxies to determine redshift.,Perform waveform analysis of MBH binary systems to determine distance and localize to host galaxy with high angular precision.,,,,,Ira,,
,,,SOBH binaries,,,,,Ira,,
